Amounts Effective from April to June 2024 / Montants en vigueur d'avril à juin 2024,,,,,
"Combined Yearly Income of couple (excluding OAS, GIS and Allowance) From ($)","Combined Yearly Income of couple (excluding OAS, GIS and Allowance) To ($)",Total Monthly GIS (for a person receiving the full OAS Pension) ($),Combined Monthly OAS Pension and GIS (age 65 to 74) ($),Combined Monthly OAS Pension and GIS (age 75 and over) ($),Total Monthly Allowance ($)
"Revenu annuel du couple (excluant la pension de la SV, le SRG et l'Allocation) De ($)","Revenu annuel du couple (excluant la pension de la SV, le SRG et l'Allocation) À ($)",Total mensuel pour le SRG (pour une personne recevant la pleine pension de la SV) ($),Total mensuel de la pension de la SV et du SRG (65 à 74 ans) ($),Total mensuel de la pension de la SV et du SRG (75 ans et plus) ($),Total mensuel pour l'Allocation  ($)
17520,17567.99,467.59,1180.93,1252.26,467.59
17568,17615.99,466.59,1179.93,1251.26,466.59
17616,17663.99,465.59,1178.93,1250.26,465.59
17664,17711.99,464.59,1177.93,1249.26,464.59
17712,17759.99,463.59,1176.93,1248.26,463.59
17760,17807.99,462.59,1175.93,1247.26,462.59
17808,17855.99,461.59,1174.93,1246.26,461.59
17856,17903.99,460.59,1173.93,1245.26,460.59
17904,17951.99,459.59,1172.93,1244.26,459.59
17952,17999.99,458.59,1171.93,1243.26,458.59
18000,18047.99,457.59,1170.93,1242.26,457.59
18048,18095.99,456.59,1169.93,1241.26,456.59
18096,18143.99,455.59,1168.93,1240.26,455.59
18144,18191.99,454.59,1167.93,1239.26,454.59
18192,18239.99,453.59,1166.93,1238.26,453.59
18240,18287.99,452.59,1165.93,1237.26,452.59
18288,18335.99,451.59,1164.93,1236.26,451.59
18336,18383.99,450.59,1163.93,1235.26,450.59
18384,18431.99,449.59,1162.93,1234.26,449.59
18432,18479.99,448.59,1161.93,1233.26,448.59
18480,18527.99,447.59,1160.93,1232.26,447.59
18528,18575.99,446.59,1159.93,1231.26,446.59
18576,18623.99,445.59,1158.93,1230.26,445.59
18624,18671.99,444.59,1157.93,1229.26,444.59
18672,18719.99,443.59,1156.93,1228.26,443.59
18720,18767.99,442.59,1155.93,1227.26,442.59
18768,18815.99,441.59,1154.93,1226.26,441.59
18816,18863.99,440.59,1153.93,1225.26,440.59
18864,18911.99,439.59,1152.93,1224.26,439.59
18912,18959.99,438.59,1151.93,1223.26,438.59
18960,19007.99,437.59,1150.93,1222.26,437.59
19008,19055.99,436.59,1149.93,1221.26,436.59
19056,19103.99,435.59,1148.93,1220.26,435.59
19104,19151.99,434.59,1147.93,1219.26,434.59
19152,19199.99,433.59,1146.93,1218.26,433.59
