Amounts Effective from April to June 2024 / Montants en vigueur d'avril à juin 2024,,,,
Combined Yearly Income of couple (excluding OAS Pension and GIS) From ($),Combined Yearly Income of couple (excluding OAS Pension and GIS) To ($),Total Monthly GIS (for a person receiving the full OAS Pension) ($),Combined Monthly OAS Pension and GIS (age 65 to 74) ($),Combined Monthly OAS Pension and GIS (age 75 and over) ($)
Revenu annuel du couple (excluant la pension de la SV et le SRG) De ($),Revenu annuel du couple (excluant la pension de la SV et le SRG) À ($),Total mensuel pour le SRG (pour une personne recevant la pleine pension de la SV) ($),Total mensuel de la pension de la SV et du SRG (65 à 74 ans) ($),Total mensuel de la pension de la SV et du SRG (75 ans et plus) ($)
16576,16607.99,768.47,1481.81,1553.14
16608,16655.99,767.47,1480.81,1552.14
16656,16671.99,766.47,1479.81,1551.14
16672,16703.99,765.47,1478.81,1550.14
16704,16751.99,764.47,1477.81,1549.14
16752,16767.99,763.47,1476.81,1548.14
16768,16799.99,762.47,1475.81,1547.14
16800,16847.99,761.47,1474.81,1546.14
16848,16863.99,760.47,1473.81,1545.14
16864,16895.99,759.47,1472.81,1544.14
16896,16943.99,758.47,1471.81,1543.14
16944,16959.99,757.47,1470.81,1542.14
16960,16991.99,756.47,1469.81,1541.14
16992,17039.99,755.47,1468.81,1540.14
17040,17055.99,754.47,1467.81,1539.14
17056,17087.99,753.47,1466.81,1538.14
17088,17135.99,752.47,1465.81,1537.14
17136,17151.99,751.47,1464.81,1536.14
17152,17183.99,750.47,1463.81,1535.14
17184,17231.99,749.47,1462.81,1534.14
17232,17247.99,748.47,1461.81,1533.14
17248,17279.99,747.47,1460.81,1532.14
17280,17327.99,746.47,1459.81,1531.14
17328,17343.99,745.47,1458.81,1530.14
17344,17375.99,744.47,1457.81,1529.14
17376,17423.99,743.47,1456.81,1528.14
17424,17439.99,742.47,1455.81,1527.14
17440,17471.99,741.47,1454.81,1526.14
17472,17519.99,740.47,1453.81,1525.14
17520,17535.99,739.47,1452.81,1524.14
17536,17567.99,738.47,1451.81,1523.14
17568,17615.99,737.47,1450.81,1522.14
17616,17631.99,736.47,1449.81,1521.14
17632,17663.99,735.47,1448.81,1520.14
17664,17711.99,734.47,1447.81,1519.14
17712,17727.99,733.47,1446.81,1518.14
17728,17759.99,732.47,1445.81,1517.14
17760,17807.99,731.47,1444.81,1516.14
17808,17823.99,730.47,1443.81,1515.14
17824,17855.99,729.47,1442.81,1514.14
17856,17903.99,728.47,1441.81,1513.14
17904,17919.99,727.47,1440.81,1512.14
17920,17951.99,726.47,1439.81,1511.14
17952,17999.99,725.47,1438.81,1510.14
18000,18015.99,724.47,1437.81,1509.14
18016,18047.99,723.47,1436.81,1508.14
18048,18095.99,722.47,1435.81,1507.14
18096,18111.99,721.47,1434.81,1506.14
18112,18143.99,720.47,1433.81,1505.14
18144,18191.99,719.47,1432.81,1504.14
18192,18207.99,718.47,1431.81,1503.14
18208,18239.99,717.47,1430.81,1502.14
18240,18287.99,716.47,1429.81,1501.14
18288,18303.99,715.47,1428.81,1500.14
18304,18335.99,714.47,1427.81,1499.14
18336,18383.99,713.47,1426.81,1498.14
18384,18399.99,712.47,1425.81,1497.14
18400,18431.99,711.47,1424.81,1496.14
18432,18479.99,710.47,1423.81,1495.14
18480,18495.99,709.47,1422.81,1494.14
18496,18527.99,708.47,1421.81,1493.14
18528,18575.99,707.47,1420.81,1492.14
18576,18591.99,706.47,1419.81,1491.14
18592,18623.99,705.47,1418.81,1490.14
18624,18671.99,704.47,1417.81,1489.14
18672,18687.99,703.47,1416.81,1488.14
18688,18719.99,702.47,1415.81,1487.14
18720,18767.99,701.47,1414.81,1486.14
18768,18783.99,700.47,1413.81,1485.14
18784,18815.99,699.47,1412.81,1484.14
18816,18863.99,698.47,1411.81,1483.14
18864,18879.99,697.47,1410.81,1482.14
18880,18911.99,696.47,1409.81,1481.14
18912,18959.99,695.47,1408.81,1480.14
18960,18975.99,694.47,1407.81,1479.14
18976,19007.99,693.47,1406.81,1478.14
19008,19055.99,692.47,1405.81,1477.14
19056,19071.99,691.47,1404.81,1476.14
19072,19103.99,690.47,1403.81,1475.14
19104,19151.99,689.47,1402.81,1474.14
19152,19167.99,688.47,1401.81,1473.14
19168,19199.99,687.47,1400.81,1472.14
19200,19247.99,686.47,1399.81,1471.14
19248,19263.99,685.47,1398.81,1470.14
19264,19295.99,684.47,1397.81,1469.14
19296,19343.99,683.47,1396.81,1468.14
19344,19359.99,682.47,1395.81,1467.14
19360,19391.99,681.47,1394.81,1466.14
19392,19439.99,680.47,1393.81,1465.14
19440,19455.99,679.47,1392.81,1464.14
19456,19487.99,678.47,1391.81,1463.14
19488,19535.99,677.47,1390.81,1462.14
19536,19551.99,676.47,1389.81,1461.14
19552,19583.99,675.47,1388.81,1460.14
19584,19631.99,674.47,1387.81,1459.14
19632,19647.99,673.47,1386.81,1458.14
19648,19679.99,672.47,1385.81,1457.14
19680,19727.99,671.47,1384.81,1456.14
19728,19743.99,670.47,1383.81,1455.14
19744,19775.99,669.47,1382.81,1454.14
19776,19823.99,668.47,1381.81,1453.14
19824,19839.99,667.47,1380.81,1452.14
19840,19871.99,666.47,1379.81,1451.14
19872,19919.99,665.47,1378.81,1450.14
19920,19935.99,664.47,1377.81,1449.14
19936,19967.99,664.43,1377.77,1449.1
19968,20015.99,663.43,1376.77,1448.1
20016,20063.99,662.43,1375.77,1447.1
20064,20111.99,661.43,1374.77,1446.1
20112,20159.99,660.43,1373.77,1445.1
20160,20207.99,659.43,1372.77,1444.1
